record ID,latitude,longitude,date,case_numbe,cluster label,subzone ID
1,1.387103,103.862363,200221,6,1,246
2,1.386371,103.861516,200221,5,1,246
3,1.387782,103.862708,200221,1,1,246
4,1.388717,103.861764,200221,5,1,246
5,1.386942,103.861363,200221,5,1,246
6,1.3863939,103.866405,200221,2,1,246
7,1.381663,103.861073,200221,2,1,246
8,1.38147,103.861861,200221,1,1,246
9,1.385151,103.862949,200221,14,1,246
10,1.38343,103.859312,200221,3,1,246
11,1.3841242,103.8621191,200221,12,1,246
12,1.384018,103.860728,200221,20,1,246
13,1.385143,103.859882,200221,9,1,246
14,1.382815,103.860107,200221,9,1,246
15,1.382438,103.860834,200221,7,1,246
16,1.383894,103.862584,200221,7,1,246
17,1.382431,103.8633118,200221,3,1,246
18,1.3868,103.859061,200221,3,1,246
19,1.387087,103.859732,200221,10,1,246
20,1.385285,103.863837,200221,22,1,246
21,1.3838344,103.8590252,200221,3,1,246
22,1.387312,103.860112,200221,6,1,246
23,1.386462,103.859778,200221,18,1,246
24,1.382541,103.865122,200221,1,1,246
25,1.389178,103.860488,200221,3,1,246
26,1.3763142,103.7645327,200221,3,2,226
27,1.376508,103.764882,200221,2,2,226
28,1.379985,103.763285,200221,1,2,226
29,1.379346,103.762143,200221,1,2,226
30,1.378669,103.76414,200221,1,2,226
31,1.377381,103.763305,200221,86,2,226
32,1.375224,103.762873,200221,11,2,226
33,1.339162,103.686556,200221,2,3,160
34,1.340226,103.685904,200221,2,3,160
35,1.3405185,103.6851645,200221,2,3,160
36,1.3411229,103.6859395,200221,1,3,160
37,1.340565,103.686404,200221,1,3,160
38,1.341223,103.68641,200221,5,3,160
39,1.3418326,103.6859788,200221,3,3,160
40,1.341944,103.686854,200221,2,3,160
41,1.341971,103.687594,200221,1,3,160
42,1.341456,103.687924,200221,3,3,160
43,1.341112,103.687735,200221,2,3,160
44,1.34074,103.68799,200221,5,3,160
45,1.340431,103.687575,200221,14,3,160
46,1.340656,103.687116,200221,5,3,160
47,1.3399464,103.687256,200221,9,3,160
48,1.3399044,103.6883979,200221,8,3,160
49,1.339266,103.689373,200221,3,3,160
50,1.3396917,103.6898579,200221,1,3,160
51,1.340397,103.689844,200221,1,3,160
52,1.3402018,103.6893265,200221,6,3,160
53,1.340544,103.689157,200221,1,3,160
54,1.3409718,103.6891908,200221,5,3,160
55,1.341337,103.689311,200221,7,3,160
56,1.341658,103.689693,200221,1,3,160
57,1.34178,103.688429,200221,1,3,160
58,1.3373258,103.6906741,200221,1,3,160
59,1.36152,103.855074,200221,1,4,204
60,1.363437,103.8551279,200221,3,4,204
61,1.3638955,103.8552628,200221,1,4,204
62,1.3645799,103.854932,200221,1,4,204
63,1.364935,103.853958,200221,1,4,204
64,1.36539,103.852877,200221,2,4,204
65,1.3661319,103.8540529,200221,2,4,204
66,1.365691,103.855157,200221,1,4,204
67,1.366129,103.855221,200221,1,4,204
68,1.366643,103.855438,200221,7,4,204
69,1.367823,103.855993,200221,1,4,204
70,1.364574,103.856711,200221,1,4,204
71,1.364171,103.8565785,200221,2,4,204
72,1.363466,103.857038,200221,8,4,204
73,1.3631851,103.858097,200221,3,4,204
74,1.3630739,103.857041,200221,8,4,204
75,1.362884,103.8575989,200221,2,4,204
76,1.362678,103.8563269,200221,33,4,204
77,1.3623793,103.8576022,200221,5,4,204
78,1.359672,103.856341,200221,1,4,204
79,1.3601805,103.8610041,200221,1,5,206
80,1.3622839,103.8627547,200221,12,5,206
81,1.3619272,103.8623522,200221,18,5,206
82,1.3614257,103.8620315,200221,11,5,206
83,1.356775,103.858558,200221,1,5,206
84,1.3605922,103.8613731,200221,3,5,206
85,1.358366,103.862544,200221,2,5,206
86,1.3606413,103.8641076,200221,4,5,206
87,1.360459,103.8668409,200221,2,5,206
88,1.3602957,103.8654887,200221,4,5,206
89,1.36277,103.8631778,200221,3,5,206
90,1.3637502,103.8608487,200221,2,6,206
91,1.3622839,103.8627547,200221,2,6,206
92,1.3619272,103.8623522,200221,1,6,206
93,1.3614257,103.8620315,200221,2,6,206
94,1.3677604,103.8637461,200221,2,6,206
95,1.3680896,103.8641538,200221,1,6,206
96,1.36277,103.8631778,200221,8,6,206
97,1.36542,103.864035,200221,1,6,206
98,1.367706,103.865181,200221,1,6,206
99,1.3670313,103.8664946,200221,1,6,206
100,1.364628,103.865529,200221,1,6,206
101,1.3636545,103.8634505,200221,7,6,206
102,1.366584,103.864022,200221,4,6,206
103,1.365403,103.864929,200221,1,6,206
104,1.3649753,103.8606604,200221,1,6,206
105,1.364118,103.866614,200221,1,6,206
106,1.3637427,103.8670456,200221,4,6,206
107,1.3644717,103.8642031,200221,4,6,206
108,1.444818,103.790498,200221,1,7,280
109,1.445378,103.791784,200221,1,7,280
110,1.441502,103.789157,200221,1,7,280
111,1.443138,103.788167,200221,1,7,280
112,1.443303,103.7895311,200221,1,7,280
113,1.4420077,103.7900851,200221,2,7,280
114,1.441871,103.790869,200221,2,7,280
115,1.4416525,103.7900426,200221,7,7,280
116,1.4412137,103.7907201,200221,2,7,280
117,1.4411943,103.7900582,200221,2,7,280
118,1.4408892,103.7900872,200221,2,7,280
119,1.441872,103.789439,200221,1,7,280
120,1.4408645,103.7894474,200221,2,7,280
121,1.442681,103.791677,200221,1,7,280
122,1.443517,103.791634,200221,1,7,280
123,1.442161,103.791683,200221,4,7,280
124,1.441806,103.7919604,200221,2,7,280
125,1.442915,103.789567,200221,1,7,280
126,1.4425646,103.7896066,200221,1,7,280
127,1.444448,103.791807,200221,1,7,280
128,1.441139,103.792607,200221,3,7,280
129,1.442618,103.793396,200221,1,7,280
130,1.371595,103.834254,200221,3,8,214
131,1.3725353,103.831873,200221,9,8,225
132,1.3731142,103.8307357,200221,1,8,225
133,1.3716809,103.8301916,200221,1,8,225
134,1.372464,103.831078,200221,2,8,225
135,1.3738826,103.8315829,200221,2,8,225
136,1.3732959,103.8327755,200221,20,8,225
137,1.387868,103.907752,200221,2,9,292
138,1.388622,103.90671,200221,1,9,292
139,1.384302,103.902851,200221,1,9,292
140,1.38627,103.90408,200221,2,9,292
141,1.385129,103.904015,200221,1,9,292
142,1.386879,103.904676,200221,2,9,292
143,1.386973,103.904683,200221,1,9,292
144,1.387127,103.905728,200221,4,9,292
145,1.387924,103.904814,200221,1,9,292
146,1.388946,103.904311,200221,1,9,292
147,1.386355,103.905472,200221,4,9,292
148,1.386595,103.906066,200221,8,9,292
149,1.386988,103.906539,200221,7,9,292
150,1.387616,103.906267,200221,1,9,292
151,1.3073888,103.905797,200221,2,10,93
152,1.3098857,103.9069273,200221,6,10,93
153,1.3095208,103.9061058,200221,1,10,93
154,1.309504,103.905048,200221,4,10,93
155,1.309134,103.905015,200221,1,10,93
156,1.309934,103.9020481,200221,1,10,135
157,1.3088059,103.9069976,200221,9,10,93
158,1.308765,103.906107,200221,1,10,93
159,1.3083689,103.9077763,200221,1,10,93
160,1.312665,103.90693,200221,1,10,93
161,1.3105306,103.902828,200221,1,10,135
162,1.308661,103.905265,200221,3,10,93
163,1.37064,103.853431,200221,2,11,212
164,1.3706862,103.8524706,200221,4,11,212
165,1.370249,103.852478,200221,1,11,212
166,1.373138,103.851947,200221,1,11,212
167,1.371312,103.853596,200221,1,11,212
168,1.371181,103.852859,200221,6,11,212
169,1.371099,103.85219,200221,7,11,212
170,1.3720001,103.8529979,200221,1,11,212
171,1.3718689,103.8535776,200221,1,11,212
172,1.372548,103.850941,200221,1,11,212
173,1.3718971,103.850947,200221,1,11,212
174,1.381716,103.8952879,200221,1,12,247
175,1.381657,103.890531,200221,1,12,247
176,1.381947,103.891449,200221,1,12,247
177,1.381194,103.892133,200221,1,12,247
178,1.380793,103.894095,200221,10,12,247
179,1.383235,103.894541,200221,2,12,247
180,1.381886,103.894502,200221,3,12,247
181,1.382338,103.894509,200221,1,12,247
182,1.382428,103.894028,200221,1,12,247
183,1.381849,103.893933,200221,3,12,247
184,1.401919,103.905883,200221,1,12,318
185,1.378572,103.766128,200221,4,13,226
186,1.3794404,103.7667267,200221,7,13,226
187,1.379847,103.766734,200221,3,13,226
188,1.3802841,103.7663537,200221,1,13,226
189,1.379926,103.765968,200221,1,13,226
190,1.3792943,103.7659488,200221,3,13,226
191,1.379801,103.765074,200221,2,13,226
192,1.379079,103.764799,200221,1,13,226
193,1.3609447,103.8726558,200221,1,14,206
194,1.363201,103.8720506,200221,10,14,206
195,1.3644658,103.870981,200221,6,14,206
196,1.3637427,103.8670456,200221,2,14,206
197,1.365624,103.8717056,200221,2,14,206
198,1.3065778,103.8373806,200221,1,15,68
199,1.303984,103.839566,200221,10,15,68
